"id","houseno","houseno_specification","geo_long","geo_lat","address_specification_verbatim","street_id"
"3807","31",NULL,"2.37764","48.8494",NULL,"179"
"3808","29",NULL,"2.37764","48.8494",NULL,"179"
"3809","30",NULL,"2.30103","48.8813",NULL,"180"
"3810","26",NULL,"2.36816","48.8642",NULL,"181"
"3811","6",NULL,"2.36816","48.8642",NULL,"181"
"3812","5",NULL,"2.31787","48.8709","Faubourg-saint-honoré","899"
"3813","5",NULL,"2.31787","48.8709",NULL,"899"
"3814","25",NULL,"2.32855","48.8543",NULL,"643"
"3815","51",NULL,"2.37514","48.8892","À La Villette","185"
"3816","69",NULL,"2.37514","48.8892","À La Villette","185"
"3817","70",NULL,"2.37514","48.8892","À La Villette","185"
"3818","27",NULL,"2.32925","48.847",NULL,"186"
"3819","9",NULL,"2.3368","48.8698",NULL,"187"
"3820","1",NULL,"2.3368","48.8698",NULL,"187"
"3821","21",NULL,"2.3368","48.8698",NULL,"187"
"3822","16",NULL,"2.3368","48.8698",NULL,"187"
"3823","10",NULL,"2.3368","48.8698",NULL,"187"
"3824","4",NULL,"2.3368","48.8698",NULL,"187"
"3825","73",NULL,"2.28751","48.8451","À Grenelle","189"
"3826","20",NULL,"2.33944","48.855",NULL,"513"
"3827","30",NULL,"2.34391","48.8642",NULL,"192"
"3828","6",NULL,"2.34307","48.8564",NULL,"900"
"3829","67",NULL,"2.33089","48.8553",NULL,"359"
"3830","17",NULL,"2.35613","48.885","In Chapelle","881"
"3831","17",NULL,"2.35613","48.885","In Chapelle","881"
"3832","4",NULL,"2.35807","48.855",NULL,"197"
"3833","24",NULL,"2.33856","48.8532",NULL,"42"
"3834","54",NULL,"2.34215","48.86",NULL,"45"
"3835","54",NULL,"2.34215","48.86",NULL,"45"
"3836","54",NULL,"2.34215","48.86",NULL,"45"
"3837","3",NULL,"2.35043","48.8715",NULL,"51"
"3838","113",NULL,"2.341","48.8509",NULL,"53"
"3839","7",NULL,"2.32125","48.8847","In Batignolles","31"
"3840","20",NULL,"2.32125","48.8847","In Batignolles","31"
"3841","69",NULL,"2.32128","48.8517",NULL,"141"
"3842","9",NULL,"2.36389","48.8697","Passage De L' Entrepôt 6","56"
"3843","161",NULL,"2.32097","48.8486",NULL,"939"
"3844","23",NULL,"0","0","Boulevard Du Montparnasse 130","901"
"3845","16",NULL,"2.33382","48.8671",NULL,"565"
"3846","10",NULL,"2.32582","48.8748",NULL,"60"
"3847","13",NULL,"2.33163","48.8514",NULL,"454"
"3848","3",NULL,"2.33869","48.8509",NULL,"61"
"3849","1",NULL,"2.34026","48.8616",NULL,"902"
"3850","2",NULL,"2.36728","48.8524",NULL,"903"
"3851","11",NULL,"2.36292","48.8615",NULL,"904"
"3852","21",NULL,"2.34561","48.8534",NULL,"875"
"3853","16",NULL,"2.31713","48.8349",NULL,"62"
"3854","103",NULL,"2.31594","48.8609",NULL,"67"
"3855","91",NULL,"2.31594","48.8609",NULL,"67"
"3856","20",NULL,"2.35639","48.8542",NULL,"59"
"3857","41",NULL,"2.35639","48.8542",NULL,"59"
"3858",NULL,NULL,"2.34103","48.8681",NULL,"69"
"3859","5",NULL,"2.34103","48.8681",NULL,"69"
"3860","15",NULL,"2.34103","48.8681",NULL,"69"
"3861","25",NULL,"2.34577","48.8552",NULL,"71"
"3862","29",NULL,"2.31704","48.8766",NULL,"73"
"3863","6",NULL,"2.3395","48.8517",NULL,"523"
"3864","29",NULL,"2.31704","48.8766",NULL,"73"
"3865","43",NULL,"2.31704","48.8766",NULL,"73"
"3866","50",NULL,"0","0",NULL,"906"
"3867","17",NULL,"2.34233","48.8519",NULL,"542"
"3868","14",NULL,"2.36615","48.8519",NULL,"77"
"3869","7",NULL,"2.34318","48.8475",NULL,"331"
"3870","6",NULL,"2.33278","48.8739",NULL,"79"
"3871","26",NULL,"2.33278","48.8739",NULL,"79"
"3872","20",NULL,"2.33085","48.8498",NULL,"494"
"3873","59",NULL,"2.33278","48.8739",NULL,"79"
"3874","22",NULL,"2.33278","48.8739",NULL,"79"
"3875","26",NULL,"2.33278","48.8739",NULL,"79"
"3876","10",NULL,"2.33278","48.8739",NULL,"79"
"3877","68",NULL,"2.33278","48.8739",NULL,"79"
"3878","45",NULL,"2.3317","48.8479",NULL,"555"
"3879","8",NULL,"2.33278","48.8739",NULL,"79"
"3880","28",NULL,"2.34771","48.8546",NULL,"907"
